,Problem,Link
241,Convert min Heap to max Heapsoon...,https://bit.ly/3flmw7c
242,Kth largest element in an array [use priority queue],https://leetcode.com/problems/kth-largest-element-in-an-array/
243,Kth smallest element in an array [use priority queue],https://bit.ly/3PvAOhK
244,Sort K sorted arraysoon...,https://bit.ly/3QLpaAs
245,Merge M sorted Listssoon...,https://leetcode.com/problems/merge-k-sorted-lists/
246,Replace each array element by its corresponding rank,https://bit.ly/3TS3jcg
247,Task Schedulersoon...,https://leetcode.com/problems/task-scheduler/
248,Hands of Straightssoon...,https://leetcode.com/problems/hand-of-straights/
249,Design twittersoon...,https://leetcode.com/problems/design-twitter/
250,Connect `n` ropes with minimal costsoon...,https://bit.ly/3QVb1jR
251,Kth largest element in a stream of running integerssoon...,"https://leetcode.com/problems/kth-largest-element-in-a-stream/#:~:text=Implement%20KthLargest%20class%3A,largest%20element%20in%20the%20stream."
252,Maximum Sum Combinationsoon...,https://www.interviewbit.com/problems/maximum-sum-combinations/
253,Find Median from Data Streamsoon...,https://leetcode.com/problems/find-median-from-data-stream/
254,K most frequent elementssoon...,https://leetcode.com/problems/top-k-frequent-elements/
255,Assign Cookiessoon...,https://leetcode.com/problems/assign-cookies/
256,Fractional Knapsack Problem,https://practice.geeksforgeeks.org/problems/fractional-knapsack-1587115620/1
257,Greedy algorithm to find minimum number of coins,https://www.geeksforgeeks.org/find-minimum-number-of-coins-that-make-a-change/
258,Lemonade Changesoon...,https://leetcode.com/problems/lemonade-change/
259,Valid Paranthesis Checkersoon...,https://leetcode.com/problems/valid-parenthesis-string/
260,N meetings in one room,https://practice.geeksforgeeks.org/problems/n-meetings-in-one-room-1587115620/1
261,Jump Gamesoon...,https://leetcode.com/problems/jump-game/
262,Jump Game 2soon...,https://leetcode.com/problems/jump-game-ii/
263,Minimum number of platforms required for a railway,https://practice.geeksforgeeks.org/problems/minimum-platforms-1587115620/1#
264,Job sequencing Problem,https://practice.geeksforgeeks.org/problems/job-sequencing-problem-1587115620/1#
265,Candysoon...,https://leetcode.com/problems/candy/
266,Program for Shortest Job First (or SJF) CPU Schedulingsoon...,https://bit.ly/3DYCIFb
267,Program for Least Recently Used (LRU) Page Replacement Algorithmsoon...,https://bit.ly/3dtFqHG
268,Insert Interval,https://leetcode.com/problems/insert-interval/
269,Merge Intervals,https://leetcode.com/problems/merge-intervals/
270,Non-overlapping Intervalssoon...,https://leetcode.com/problems/non-overlapping-intervals/
271,Introduction to Trees,https://bit.ly/3EsRmTM
272,Binary Tree Representation in C++,https://bit.ly/3gn5Soh
273,Binary Tree Representation in Java,https://bit.ly/3gn5Soh
274,Binary Tree Traversals in Binary Tree,https://www.codingninjas.com/codestudio/problems/tree-traversal_981269?utm_source=striver&amp;utm_medium=website&amp;utm_campaign=a_zcoursetuf
275,Preorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-preorder-traversal/
276,Inorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/
277,Post-order Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-postorder-traversal/
278,Level order Traversal / Level order traversal in spiral form,https://leetcode.com/problems/binary-tree-level-order-traversal/
279,Iterative Preorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-preorder-traversal/
280,Iterative Inorder Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-inorder-traversal/
281,Post-order Traversal of Binary Tree using 2 stack,https://leetcode.com/problems/binary-tree-postorder-traversal/
282,Post-order Traversal of Binary Tree using 1 stack,https://leetcode.com/problems/binary-tree-postorder-traversal/
283,"Preorder, Inorder, and Postorder Traversal in one Traversal",https://bit.ly/3T3oW9M
284,Height of a Binary Tree,https://leetcode.com/problems/maximum-depth-of-binary-tree/
285,Check if the Binary tree is height-balanced or not,https://leetcode.com/problems/balanced-binary-tree/
286,Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/
287,Maximum path sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/
288,Check if two trees are identical or not,https://leetcode.com/problems/same-tree/
289,Zig Zag Traversal of Binary Tree,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
290,Boundary Traversal of Binary Tree,https://leetcode.com/problems/boundary-of-binary-tree/
